# Time  u_x_TE  u_y_TE v_x_wake v_y_wake
2.9225000000e+00 -6.4925137477e-05 6.3014203770e-04 6.3279944161e-02 -1.8605867652e-03
2.9300000000e+00 -6.4674363811e-05 6.4081922231e-04 6.3438897165e-02 -1.7486723282e-03
2.9375000000e+00 -6.4016227827e-05 6.5128591616e-04 6.3257315491e-02 -1.9040229011e-03
2.9450000000e+00 -6.3142606702e-05 6.6195394620e-04 6.3423254597e-02 -1.7968180252e-03
2.9525000000e+00 -6.2602768558e-05 6.7222932061e-04 6.3234266207e-02 -1.9475079023e-03
2.9600000000e+00 -6.1474443530e-05 6.8274395303e-04 6.3408048560e-02 -1.8459948921e-03
2.9675000000e+00 -6.0732981625e-05 6.9298306930e-04 6.3212516124e-02 -1.9930490105e-03
2.9750000000e+00 -5.9689591245e-05 7.0317087275e-04 6.3392112326e-02 -1.8943871983e-03
2.9825000000e+00 -5.8488509754e-05 7.1345857813e-04 6.3192901000e-02 -2.0418744479e-03
2.9900000000e+00 -5.7697676828e-05 7.2326779039e-04 6.3375301659e-02 -1.9416936397e-03
2.9975000000e+00 -5.6175515036e-05 7.3348627821e-04 6.3174472858e-02 -2.0931760462e-03
3.0050000000e+00 -5.5227719082e-05 7.4314112032e-04 6.3359889930e-02 -1.9897040403e-03
3.0125000000e+00 -5.3966051305e-05 7.5303253027e-04 6.3154473300e-02 -2.1444834036e-03
3.0200000000e+00 -5.2506473259e-05 7.6256360201e-04 6.3347891006e-02 -2.0409656483e-03
3.0275000000e+00 -5.1505545780e-05 7.7231459957e-04 6.3132982819e-02 -2.1940326448e-03
3.0350000000e+00 -4.9926253970e-05 7.8143979145e-04 6.3337142894e-02 -2.0956784869e-03
3.0425000000e+00 -4.8723201382e-05 7.9116641774e-04 6.3113647656e-02 -2.2433346816e-03
3.0500000000e+00 -4.7392740034e-05 7.9997321981e-04 6.3324226178e-02 -2.1512571897e-03
3.0575000000e+00 -4.5906902122e-05 8.0939221978e-04 6.3098717177e-02 -2.2948810724e-03
3.0650000000e+00 -4.4792609749e-05 8.1807469403e-04 6.3308693809e-02 -2.2061823263e-03
3.0725000000e+00 -4.3169264519e-05 8.2705795597e-04 6.3087241253e-02 -2.3490052856e-03
3.0800000000e+00 -4.2115816870e-05 8.3571111273e-04 6.3292510101e-02 -2.2608118772e-03
3.0875000000e+00 -4.0641223873e-05 8.4404753607e-04 6.3076819621e-02 -2.4050354663e-03
3.0950000000e+00 -3.9353227281e-05 8.5277138897e-04 6.3278443963e-02 -2.3160662490e-03
3.1025000000e+00 -3.8322123315e-05 8.6059949395e-04 6.3064760275e-02 -2.4616024533e-03
3.1100000000e+00 -3.6737360747e-05 8.6883513097e-04 6.3268730644e-02 -2.3736392554e-03
3.1175000000e+00 -3.5986479028e-05 8.7686312743e-04 6.3050365484e-02 -2.5172729074e-03
3.1250000000e+00 -3.4538511342e-05 8.8401812661e-04 6.3262173792e-02 -2.4338420557e-03
3.1325000000e+00 -3.3589305739e-05 8.9234549614e-04 6.3036880996e-02 -2.5731515392e-03
3.1400000000e+00 -3.2696195719e-05 8.9877892040e-04 6.3254618820e-02 -2.4944771338e-03
3.1475000000e+00 -3.1415458688e-05 9.0668163155e-04 6.3028044290e-02 -2.6313999091e-03
3.1550000000e+00 -3.0952463648e-05 9.1310937812e-04 6.3244139258e-02 -2.5543917009e-03
3.1625000000e+00 -2.9664430609e-05 9.2015066973e-04 6.3023536768e-02 -2.6915175787e-03
3.1700000000e+00 -2.9311092716e-05 9.2657597357e-04 6.3232897536e-02 -2.6153785732e-03
3.1775000000e+00 -2.8255128411e-05 9.3304660063e-04 6.3020419183e-02 -2.7512457338e-03
3.1850000000e+00 -2.7896371438e-05 9.3911159119e-04 6.3223628856e-02 -2.6790906262e-03
3.1925000000e+00 -2.7143191039e-05 9.4519903771e-04 6.3016902598e-02 -2.8100490557e-03
3.2000000000e+00 -2.6732638274e-05 9.5091973744e-04 6.3217094066e-02 -2.7448648145e-03
3.2075000000e+00 -2.6298429345e-05 9.5649255273e-04 6.3013297599e-02 -2.8692697405e-03
3.2150000000e+00 -2.5914728982e-05 9.6194755387e-04 6.3212179793e-02 -2.8110958332e-03
3.2225000000e+00 -2.5634175640e-05 9.6700657122e-04 6.3011278881e-02 -2.9303619243e-03
3.2300000000e+00 -2.5467752704e-05 9.7213429268e-04 6.3207195030e-02 -2.8764969413e-03
3.2375000000e+00 -2.5227972763e-05 9.7672088322e-04 6.3012005649e-02 -2.9942112932e-03
3.2450000000e+00 -2.5245420550e-05 9.8148415194e-04 6.3202052207e-02 -2.9407652452e-03
3.2525000000e+00 -2.5189067147e-05 9.8570742762e-04 6.3014329528e-02 -3.0600277791e-03
3.2600000000e+00 -2.5206370951e-05 9.8989076163e-04 6.3198824049e-02 -3.0057261206e-03
3.2675000000e+00 -2.5441878690e-05 9.9401402838e-04 6.3015983832e-02 -3.1253264733e-03
3.2750000000e+00 -2.5454453856e-05 9.9746840255e-04 6.3199109003e-02 -3.0734059633e-03
3.2825000000e+00 -2.5845693500e-05 1.0014298841e-03 6.3016709557e-02 -3.1892408356e-03
3.2900000000e+00 -2.6073390249e-05 1.0044055091e-03 6.3201715072e-02 -3.1431148194e-03
3.2975000000e+00 -2.6336960619e-05 1.0079194308e-03 6.3018735280e-02 -3.2533952975e-03
3.3050000000e+00 -2.7021623622e-05 1.0105969770e-03 6.3204080675e-02 -3.2129683735e-03
3.3125000000e+00 -2.6985859794e-05 1.0136688175e-03 6.3024159153e-02 -3.3190542224e-03
3.3200000000e+00 -2.8120646628e-05 1.0159615351e-03 6.3205021517e-02 -3.2824388295e-03
3.3275000000e+00 -2.7951798792e-05 1.0186431688e-03 6.3033035700e-02 -3.3859899719e-03
3.3350000000e+00 -2.9178794515e-05 1.0206659387e-03 6.3205439275e-02 -3.3519727879e-03
3.3425000000e+00 -2.9292187226e-05 1.0227666936e-03 6.3043720060e-02 -3.4536210044e-03
3.3500000000e+00 -3.0190497922e-05 1.0246855464e-03 6.3207348527e-02 -3.4220735447e-03
3.3575000000e+00 -3.0845072980e-05 1.0262483426e-03 6.3054165315e-02 -3.5212819280e-03
3.3650000000e+00 -3.1325317944e-05 1.0278347267e-03 6.3212393557e-02 -3.4933472554e-03
3.3725000000e+00 -3.2381944668e-05 1.0291782283e-03 6.3063562107e-02 -3.5885689165e-03
3.3800000000e+00 -3.2713901208e-05 1.0302124380e-03 6.3220266847e-02 -3.5654777164e-03
3.3875000000e+00 -3.3788416032e-05 1.0313951125e-03 6.3073343358e-02 -3.6564826855e-03
3.3950000000e+00 -3.4331861025e-05 1.0319754020e-03 6.3228797695e-02 -3.6369521191e-03
3.4025000000e+00 -3.5111317977e-05 1.0328889765e-03 6.3085679377e-02 -3.7262012123e-03
3.4100000000e+00 -3.6002756571e-05 1.0330796873e-03 6.3236506327e-02 -3.7074018922e-03
3.4175000000e+00 -3.6507248861e-05 1.0337431845e-03 6.3100813442e-02 -3.7968784586e-03
3.4250000000e+00 -3.7524135990e-05 1.0335567840e-03 6.3244269076e-02 -3.7783829633e-03
3.4325000000e+00 -3.8032466882e-05 1.0339338144e-03 6.3117152829e-02 -3.8667167633e-03
3.4400000000e+00 -3.8887684684e-05 1.0334775877e-03 6.3253644238e-02 -3.8511165553e-03
3.4475000000e+00 -3.9540619306e-05 1.0335139037e-03 6.3133634590e-02 -3.9352173900e-03
3.4550000000e+00 -4.0202245782e-05 1.0328070636e-03 6.3264933405e-02 -3.9252128927e-03
3.4625000000e+00 -4.0909072933e-05 1.0325424894e-03 6.3150581251e-02 -4.0032590687e-03
3.4700000000e+00 -4.1469150396e-05 1.0316003648e-03 6.3277373029e-02 -3.9994075250e-03
3.4775000000e+00 -4.2130619596e-05 1.0309708736e-03 6.3168909018e-02 -4.0720857685e-03
3.4850000000e+00 -4.2629905557e-05 1.0299393608e-03 6.3290065448e-02 -4.0725034607e-03
3.4925000000e+00 -4.3212340453e-05 1.0288457524e-03 6.3189187473e-02 -4.1424661137e-03
3.5000000000e+00 -4.3623714599e-05 1.0277587041e-03 6.3302980698e-02 -4.1442289005e-03
3.5075000000e+00 -4.4175518942e-05 1.0263223709e-03 6.3210683922e-02 -4.2138477099e-03
