# Time  F_D  F_L p_front p_back
3.4025000000e+00 5.1915725049e-03 -1.4587772029e-02 -9.8919980179e-03 -1.5897993546e-02
3.4100000000e+00 -4.7834323892e-03 1.4156527359e-02 1.1565501630e-02 1.4560936809e-02
3.4175000000e+00 5.1279128698e-03 -1.4605235987e-02 -8.1219428432e-03 -1.4089794207e-02
3.4250000000e+00 -4.7161873235e-03 1.4137090075e-02 9.2953290966e-03 1.2293127626e-02
3.4325000000e+00 5.0606343385e-03 -1.4466699750e-02 -5.5937051113e-03 -1.1625673236e-02
3.4400000000e+00 -4.6450041701e-03 1.3837837635e-02 6.6098604546e-03 9.6969224661e-03
3.4475000000e+00 4.9889619475e-03 -1.4003020138e-02 -2.9924308016e-03 -9.1379992039e-03
3.4550000000e+00 -4.5680122689e-03 1.3243935924e-02 4.0499346818e-03 7.2509585732e-03
3.4625000000e+00 4.9097857031e-03 -1.3331930962e-02 -5.9598927780e-04 -6.8512619652e-03
3.4700000000e+00 -4.4814567872e-03 1.2566854491e-02 1.6359691868e-03 4.9414524778e-03
3.4775000000e+00 4.8194958722e-03 -1.2714352252e-02 1.7539450843e-03 -4.5939692884e-03
3.4850000000e+00 -4.3836400397e-03 1.2067780176e-02 -8.7134593402e-04 2.5358730230e-03
3.4925000000e+00 4.7198678598e-03 -1.2358341810e-02 4.2716957789e-03 -2.1751185110e-03
3.5000000000e+00 -4.2808857281e-03 1.1849977399e-02 -3.5379996068e-03 -5.6306450624e-06
3.5075000000e+00 4.6217082542e-03 -1.2229156959e-02 6.7804699798e-03 2.1387196751e-04
3.5150000000e+00 -4.1863588999e-03 1.1742121039e-02 -5.9117124053e-03 -2.2437529723e-03
3.5225000000e+00 4.5370183401e-03 -1.2067478472e-02 8.6549929632e-03 1.9921604356e-03
3.5300000000e+00 -4.1074178209e-03 1.1482523377e-02 -7.4003533899e-03 -3.6531445939e-03
3.5375000000e+00 4.4664276032e-03 -1.1699741875e-02 9.5816427500e-03 2.9141318502e-03
3.5450000000e+00 -4.0382539606e-03 1.1042738131e-02 -8.1268004881e-03 -4.4043589347e-03
3.5525000000e+00 4.4001504088e-03 -1.1238539331e-02 1.0114565802e-02 3.5449686341e-03
3.5600000000e+00 -3.9687843458e-03 1.0618835171e-02 -8.9074085217e-03 -5.2870052647e-03
3.5675000000e+00 4.3306392492e-03 -1.0883518506e-02 1.1076969067e-02 4.6512176610e-03
3.5750000000e+00 -3.8950940808e-03 1.0348557091e-02 -1.0339319324e-02 -6.8293997440e-03
3.5825000000e+00 4.2569902399e-03 -1.0679753254e-02 1.2722131333e-02 6.4184694969e-03
3.5900000000e+00 -3.8175917699e-03 1.0186031761e-02 -1.2315872392e-02 -8.8737596962e-03
3.5975000000e+00 4.1800717376e-03 -1.0512273360e-02 1.4651078206e-02 8.4213245727e-03
3.6050000000e+00 -3.7374231704e-03 9.9770304470e-03 -1.4224252090e-02 -1.0814698146e-02
