# Time  u_x_TE  u_y_TE
3.9545000000e+01 6.7013932280e-09 4.5981062013e-06
3.9550000000e+01 6.0403532263e-09 4.5894172380e-06
3.9555000000e+01 5.4826490588e-09 4.5793416868e-06
3.9560000000e+01 5.1483484331e-09 4.5688628440e-06
3.9565000000e+01 5.1087869887e-09 4.5585691883e-06
3.9570000000e+01 5.3702431435e-09 4.5485286047e-06
3.9575000000e+01 5.8714655541e-09 4.5382778313e-06
3.9580000000e+01 6.4968133881e-09 4.5269313887e-06
3.9585000000e+01 7.1025242289e-09 4.5133862261e-06
3.9590000000e+01 7.5494577634e-09 4.4965752926e-06
3.9595000000e+01 7.7338692136e-09 4.4757124664e-06
3.9600000000e+01 7.6091885233e-09 4.4504751748e-06
3.9605000000e+01 7.1950799552e-09 4.4210865642e-06
3.9610000000e+01 6.5730621205e-09 4.3882808315e-06
3.9615000000e+01 5.8697433174e-09 4.3531589008e-06
3.9620000000e+01 5.2301312035e-09 4.3169641346e-06
3.9625000000e+01 4.7856543232e-09 4.2808259518e-06
3.9630000000e+01 4.6240604311e-09 4.2455283732e-06
3.9635000000e+01 4.7691995712e-09 4.2113562690e-06
3.9640000000e+01 5.1762601631e-09 4.1780540422e-06
3.9645000000e+01 5.7430831911e-09 4.1449046487e-06
3.9650000000e+01 6.3335161409e-09 4.1109094784e-06
3.9655000000e+01 6.8066928844e-09 4.0750287116e-06
3.9660000000e+01 7.0465117533e-09 4.0364305721e-06
3.9665000000e+01 6.9864799889e-09 3.9946966231e-06
3.9670000000e+01 6.6252306348e-09 3.9499384931e-06
3.9675000000e+01 6.0283134978e-09 3.9027989369e-06
3.9680000000e+01 5.3142087942e-09 3.8543351907e-06
3.9685000000e+01 4.6271714497e-09 3.8058100431e-06
3.9690000000e+01 4.1041480639e-09 3.7584380862e-06
3.9695000000e+01 3.8446430785e-09 3.7131444680e-06
3.9700000000e+01 3.8902895871e-09 3.6703889340e-06
3.9705000000e+01 4.2171002583e-09 3.6300919452e-06
3.9710000000e+01 4.7406161749e-09 3.5916774693e-06
3.9715000000e+01 5.3330259708e-09 3.5542232760e-06
3.9720000000e+01 5.8501576405e-09 3.5166874239e-06
3.9725000000e+01 6.1636715371e-09 3.4781624086e-06
3.9730000000e+01 6.1908235248e-09 3.4381004806e-06
3.9735000000e+01 5.9135179517e-09 3.3964587761e-06
