# Time  v_x_wake  v_y_wake
5.6050000000e+01 1.0114251910e-01 -2.7689531442e-03
5.6055000000e+01 1.0112479129e-01 -2.7704415220e-03
5.6060000000e+01 1.0110688706e-01 -2.7722900366e-03
5.6065000000e+01 1.0108920601e-01 -2.7742684385e-03
5.6070000000e+01 1.0107135656e-01 -2.7765929117e-03
5.6075000000e+01 1.0105373332e-01 -2.7790366609e-03
5.6080000000e+01 1.0103594724e-01 -2.7818198729e-03
5.6085000000e+01 1.0101839226e-01 -2.7847232886e-03
5.6090000000e+01 1.0100068479e-01 -2.7879700265e-03
5.6095000000e+01 1.0098321708e-01 -2.7913458692e-03
5.6100000000e+01 1.0096560684e-01 -2.7950748801e-03
5.6105000000e+01 1.0094824121e-01 -2.7989440916e-03
5.6110000000e+01 1.0093073989e-01 -2.8031733190e-03
5.6115000000e+01 1.0091348898e-01 -2.8075462987e-03
5.6120000000e+01 1.0089611200e-01 -2.8122744096e-03
5.6125000000e+01 1.0087899155e-01 -2.8171376730e-03
5.6130000000e+01 1.0086175160e-01 -2.8223432685e-03
5.6135000000e+01 1.0084477002e-01 -2.8276714014e-03
5.6140000000e+01 1.0082767401e-01 -2.8333287237e-03
5.6145000000e+01 1.0081084160e-01 -2.8390999307e-03
5.6150000000e+01 1.0079390468e-01 -2.8451954996e-03
5.6155000000e+01 1.0077723835e-01 -2.8514078056e-03
5.6160000000e+01 1.0076047523e-01 -2.8579508726e-03
5.6165000000e+01 1.0074398702e-01 -2.8646212271e-03
5.6170000000e+01 1.0072740986e-01 -2.8716303974e-03
5.6175000000e+01 1.0071111474e-01 -2.8787734772e-03
5.6180000000e+01 1.0069474105e-01 -2.8862577532e-03
5.6185000000e+01 1.0067865480e-01 -2.8938744435e-03
5.6190000000e+01 1.0066249507e-01 -2.9018235148e-03
5.6195000000e+01 1.0064662450e-01 -2.9098927307e-03
5.6200000000e+01 1.0063068601e-01 -2.9182773425e-03
5.6205000000e+01 1.0061504188e-01 -2.9267680092e-03
5.6210000000e+01 1.0059933822e-01 -2.9355632190e-03
5.6215000000e+01 1.0058393338e-01 -2.9444599896e-03
5.6220000000e+01 1.0056847445e-01 -2.9536596590e-03
5.6225000000e+01 1.0055331797e-01 -2.9629643155e-03
5.6230000000e+01 1.0053811601e-01 -2.9725776805e-03
5.6235000000e+01 1.0052322426e-01 -2.9823057582e-03
5.6240000000e+01 1.0050829640e-01 -2.9923499732e-03
5.6245000000e+01 1.0049368320e-01 -3.0025134253e-03
5.6250000000e+01 1.0047903843e-01 -3.0129887272e-03
5.6255000000e+01 1.0046471049e-01 -3.0235737422e-03
5.6260000000e+01 1.0045035759e-01 -3.0344571061e-03
5.6265000000e+01 1.0043632639e-01 -3.0454366207e-03
5.6270000000e+01 1.0042227626e-01 -3.0566992442e-03
5.6275000000e+01 1.0040854962e-01 -3.0680451804e-03
5.6280000000e+01 1.0039480777e-01 -3.0796627040e-03
5.6285000000e+01 1.0038139262e-01 -3.0913593571e-03
5.6290000000e+01 1.0036797061e-01 -3.1033295074e-03
5.6295000000e+01 1.0035488230e-01 -3.1153870838e-03
5.6300000000e+01 1.0034179463e-01 -3.1277253566e-03
5.6305000000e+01 1.0032904357e-01 -3.1401567301e-03
5.6310000000e+01 1.0031629795e-01 -3.1528695562e-03
5.6315000000e+01 1.0030389241e-01 -3.1656740404e-03
5.6320000000e+01 1.0029149935e-01 -3.1787531953e-03
5.6325000000e+01 1.0027945048e-01 -3.1919135744e-03
5.6330000000e+01 1.0026741792e-01 -3.2053314583e-03
5.6335000000e+01 1.0025572921e-01 -3.2188121448e-03
5.6340000000e+01 1.0024405957e-01 -3.2325334758e-03
5.6345000000e+01 1.0023273680e-01 -3.2463080063e-03
